"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3689","23/8/2021","5","17","26","27","31","48","4","","4","2","1","1","2","1","1","0","0","2","1566646","148","1609","363","358","7359","50","10785","25","136676","10","0","3133292","238132","129954","367950","269625","1366760","155333","5505713"
"3688","19/8/2021","1","3","9","39","40","47","29","","5","1","3","0","0","2","1","0","0","1","240390","82","2016","245","368","5499","50","7407","25","97866","10","0","240390","165312","90160","274950","185175","978660","111100","1934647"
"3687","16/8/2021","10","21","28","31","37","38","6","","3","3","1","0","2","3","0","0","0","4","803281","140","1740","444","300","7015","50","11185","25","131410","10","0","3213124","243600","133200","350750","279625","1314100","150198","5534399"
"3686","12/8/2021","2","20","25","29","32","49","36","","3","3","1","1","2","1","1","0","0","4","61899","90","1892","187","497","5160","50","5628","25","94609","10","0","247596","170280","92939","258000","140700","946090","105678","1855605"
"3685","9/8/2021","15","24","33","34","36","40","18","","2","4","0","1","1","4","0","1","1260804","6","44239","90","2028","217","459","4643","50","6792","25","86919","10","1260804","265434","182520","99603","232150","169800","869190","98668","3079501"
"3684","5/8/2021","3","17","19","23","32","38","7","23","4","2","1","2","1","2","0","1","1170107","4","61585","117","1448","335","276","5664","50","10214","25","98229","10","1170107","246340","169416","92460","283200","255350","982290","114564","3199163"
"3683","2/8/2021","12","16","23","26","33","44","10","33","2","4","0","2","2","1","1","1","2821901","6","58212","152","1580","425","309","7199","50","10889","25","129327","10","2821901","349272","240160","131325","359950","272225","1293270","147999","5468103"
"3682","29/7/2021","1","7","22","33","40","48","10","","3","3","2","0","1","2","1","0","0","2","122408","74","2275","262","351","4680","50","7837","25","88169","10","0","244816","168350","91962","234000","195925","881690","101024","1816743"
"3681","26/7/2021","3","8","30","34","39","46","44","","2","4","2","0","1","2","1","0","0","5","618075","122","1902","264","480","6111","50","7412","25","124638","10","0","3090375","232044","126720","305550","185300","1246380","138552","5186369"
"3680","22/7/2021","1","21","26","38","44","45","17","21,44","3","3","1","0","2","1","2","0","0","3","80708","56","2973","169","538","3667","50","5693","25","72787","10","0","242124","166488","90922","183350","142325","727870","82375","1553079"
"3679","19/7/2021","4","10","21","33","42","44","19","","2","4","2","0","1","1","2","1","1253392","3","87958","89","2039","246","403","4965","50","7814","25","95411","10","1253392","263874","181471","99138","248250","195350","954110","108529","3195585"
"3678","15/7/2021","3","5","9","14","23","26","20","23","4","2","3","1","2","0","0","0","0","4","795711","289","810","658","194","12696","50","15089","25","187995","10","0","3182844","234090","127652","634800","377225","1879950","216731","6436561"
"3677","12/7/2021","18","19","23","24","38","45","27","23","3","3","0","2","2","1","1","0","0","4","64547","77","2306","203","477","4735","50","6380","25","91193","10","0","258188","177562","96831","236750","159500","911930","102592","1840761"
"3676","8/7/2021","7","9","15","20","23","40","2","20","4","2","2","2","1","1","0","1","2841196","8","42795","198","1189","737","175","10404","50","16261","25","171425","10","2841196","342360","235422","128975","520200","406525","1714250","199034","6188928"
