"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3157","28/4/2016","Group 1","1","4661193"
"3156","25/4/2016","Group 1","0","0"
"3155","21/4/2016","Group 1","0","0"
"3154","18/4/2016","Group 1","1","1105998"
"3153","14/4/2016","Group 1","4","1967861"
"3152","11/4/2016","Group 1","0","0"
"3151","7/4/2016","Group 1","0","0"
"3150","4/4/2016","Group 1","0","0"
"3149","31/3/2016","Group 1","1","2612507"
"3148","28/3/2016","Group 1","0","0"
"3147","24/3/2016","Group 1","1","2656339"
"3146","21/3/2016","Group 1","0","0"
"3145","17/3/2016","Group 1","1","1159310"
"3144","14/3/2016","Group 1","4","2163551"
"3143","10/3/2016","Group 1","0","0"
"3142","7/3/2016","Group 1","0","0"
"3141","3/3/2016","Group 1","0","0"
"3140","29/2/2016","Group 1","3","1818836"
"3139","25/2/2016","Group 1","0","0"
"3138","22/2/2016","Group 1","0","0"
"3137","19/2/2016","Group 1","2","6971841"
"3136","15/2/2016","Group 1","0","0"
"3135","11/2/2016","Group 1","1","9545480"
"3134","8/2/2016","Group 1","0","0"
"3133","4/2/2016","Group 1","0","0"
